,Unnamed: 0,data_id,event_date,year,time_precision,event_type,actor1,actor1_type,actor2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,fatalities,Month,Day,Year-Month
2483,2483,1449541,2016/5/20,2016,1,Violence against civilians,Thuyic Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Tonj North,Kuanjthii,Warrap,8.0948,28.6524,2,1,5,20,2016-5
2484,2484,1449670,2016/5/18,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,5,18,2016-5
2486,2486,1449672,2016/5/18,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,2,1,5,18,2016-5
2488,2488,1449798,2016/5/16,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (International),Civilians,17,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,1,5,16,2016-5
2490,2490,1449859,2016/5/15,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj North,Akop,Akop,8.3499,29.0832,1,3,5,15,2016-5
2491,2491,1449861,2016/5/15,2016,3,Strategic development,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,2,0,5,15,2016-5
2492,2492,1449856,2016/5/15,2016,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Uganda),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,5,15,2016-5
2495,2495,1449961,2016/5/13,2016,1,Violence against civilians,Dinka Malual Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Northern Bahr el Ghazal,Aweil East,Baac,Malualkon,9.0213,27.628,1,1,5,13,2016-5
2497,2497,1450013,2016/5/12,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj North,Akop,Akop,8.3499,29.0832,1,5,5,12,2016-5
2500,2500,1450161,2016/5/10,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,1,5,10,2016-5
2503,2503,1450234,2016/5/9,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,1,0,5,9,2016-5
2504,2504,1450354,2016/5/7,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,1,5,7,2016-5
2506,2506,1450413,2016/5/6,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,1,5,5,6,2016-5
2510,2510,1450605,2016/5/3,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,0,5,3,2016-5
2512,2512,1450666,2016/5/2,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,5,5,2,2016-5
2514,2514,1450667,2016/5/2,2016,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,2,8,5,2,2016-5
2516,2516,1450838,2016/4/29,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,4,29,2016-4
2519,2519,1450950,2016/4/27,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Upper Nile,Manyo,,Wadakona,11.6173,32.7305,1,1,4,27,2016-4
2527,2527,1451303,2016/4/22,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,1,4,22,2016-4
2531,2531,1451480,2016/4/19,2016,1,Violence against civilians,Rioters (South Sudan),Rioters,Civilians (South Sudan),Civilians,57,Northern Bahr el Ghazal,Aweil West,Mariam,Aweil,8.7863,27.4015,1,0,4,19,2016-4
2533,2533,1451560,2016/4/18,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,1,4,18,2016-4
2537,2537,1451697,2016/4/16,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Anyidi,Kolnyang,6.1123,31.6979,2,0,4,16,2016-4
2542,2542,1451775,2016/4/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,4,15,2016-4
2549,2549,1451965,2016/4/12,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,2,4,12,2016-4
2550,2550,1451966,2016/4/12,2016,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,4,12,2016-4
2553,2553,1452153,2016/4/9,2016,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,3,4,9,2016-4
2555,2555,1452217,2016/4/8,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Gogrial West,Toch (Gogrial),Majok,8.76,28.43,2,2,4,8,2016-4
2557,2557,1452285,2016/4/7,2016,1,Strategic development,Police Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Northern Bahr el Ghazal,Aweil West,Gomjuer,Nyamlell,9.1317,26.9767,2,0,4,7,2016-4
2569,2569,1452474,2016/4/4,2016,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,1,4,4,2016-4
2570,2570,1452475,2016/4/4,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek East,Alamtoch West,Pacong,6.6976,29.8147,1,0,4,4,2016-4
2577,2577,1452728,2016/3/31,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,2,3,31,2016-3
2580,2580,1452853,2016/3/29,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,2,3,29,2016-3
2581,2581,1452854,2016/3/29,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,0,3,29,2016-3
2582,2582,1452857,2016/3/29,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Eastern Equatoria,Budi,Komiri,Chukudum,4.2423,33.4505,1,7,3,29,2016-3
2586,2586,1452925,2016/3/28,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Koch,Guit,Koch,8.6048,29.9905,2,4,3,28,2016-3
2587,2587,1452922,2016/3/28,2016,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Unity,Mayendit,Thonyor,Mayendit,8.131,30.0148,2,4,3,28,2016-3
2591,2591,1453160,2016/3/24,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,3,24,2016-3
2592,2592,1453161,2016/3/24,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,3,24,2016-3
2597,2597,1453341,2016/3/21,2016,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Malakal,Obwa,Malakal,9.5409,31.6521,1,0,3,21,2016-3
2603,2603,1453561,2016/3/17,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Akobo,Akobo,Akobo,7.779,33.0023,1,1,3,17,2016-3
2604,2604,1453715,2016/3/15,2016,3,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Gogrial West,Toch (Gogrial),Majok,8.76,28.43,2,0,3,15,2016-3
2605,2605,1453716,2016/3/15,2016,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Northern Bahr el Ghazal,Aweil East,Baac,Malualkon,9.0213,27.628,1,1,3,15,2016-3
2606,2606,1587764,2016/3/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Luakpiny/Nasir,,Nasir,8.6,33.0667,1,10,3,15,2016-3
2607,2607,1453712,2016/3/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,0,3,15,2016-3
2609,2609,1453783,2016/3/14,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,3,3,14,2016-3
2610,2610,1453784,2016/3/14,2016,2,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Alamtoch West,Paguere,7.03,30.09,1,8,3,14,2016-3
2612,2612,1453844,2016/3/13,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Koch,Guit,Koch,8.6048,29.9905,1,7,3,13,2016-3
2613,2613,1453843,2016/3/13,2016,1,Violence against civilians,Rioters (South Sudan),Rioters,Civilians (South Sudan),Civilians,57,Upper Nile,Malakal,Obwa,Malakal,9.5409,31.6521,1,0,3,13,2016-3
2619,2619,1454093,2016/3/9,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,1,0,3,9,2016-3
2620,2620,1454094,2016/3/9,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Jalle,Padak/baidit,6.4434,31.5451,1,0,3,9,2016-3
2631,2631,1454237,2016/3/7,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Jonglei,Ayod,Wau,Ayod,8.1234,31.4289,1,0,3,7,2016-3
2632,2632,1454238,2016/3/7,2016,2,Violence against civilians,Police Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Warrap,Gogrial West,Gogrial,Gogrial,8.5348,28.1114,1,1,3,7,2016-3
2633,2633,564125,2016/3/4,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,3,4,2016-3
2634,2634,1454728,2016/2/28,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Jur River,Udici,Bussera,7.5818,28.0346,1,3,2,28,2016-2
2635,2635,1454832,2016/2/26,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,0,2,26,2016-2
2636,2636,1454833,2016/2/26,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Tonj East,Luacjang,Ngabagok,7.9089,29.0933,2,12,2,26,2016-2
2637,2637,1454834,2016/2/26,2016,1,Violence against civilians,LRA: Lords Resistance Army,Rebel force,Civilians (South Sudan),Civilians,27,Western Bahr el Ghazal,Raga,Raja,Boro Medina,8.4636,24.8016,2,0,2,26,2016-2
2638,2638,1454900,2016/2/25,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,2,1,2,25,2016-2
2643,2643,1455048,2016/2/23,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,2,2,23,2016-2
2645,2645,1455137,2016/2/22,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,2,22,2016-2
2646,2646,1455202,2016/2/21,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,2,21,2016-2
2647,2647,1455364,2016/2/18,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,10,2,18,2016-2
2649,2649,1455366,2016/2/18,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Upper Nile,Malakal,Obwa,Malakal,9.5409,31.6521,1,9,2,18,2016-2
2651,2651,1455435,2016/2/17,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,2,17,2016-2
2653,2653,1455434,2016/2/17,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,2,2,17,2016-2
2655,2655,1455605,2016/2/15,2016,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,1,10,2,15,2016-2
2656,2656,1455606,2016/2/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Nzara,Nzara,Bazingua,4.72,28.21,1,10,2,15,2016-2
2657,2657,1455607,2016/2/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,5,2,15,2016-2
2660,2660,1455672,2016/2/14,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,1,1,2,14,2016-2
2665,2665,1455727,2016/2/13,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Rwanda),Civilians,37,Lakes,Yirol West,Ngop,River Yei,6.25,30.2167,1,2,2,13,2016-2
2667,2667,1455782,2016/2/12,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Tonj South,Thiet,Thiet,7.6067,28.8209,1,2,2,12,2016-2
2673,2673,1455835,2016/2/11,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri East,Lozoh,Lanyi,5.23,30.52,2,3,2,11,2016-2
2678,2678,1455890,2016/2/10,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Ikpiro,4.5851,28.3908,1,0,2,10,2016-2
2681,2681,1456043,2016/2/8,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Bisellia,7.7709,27.7019,2,2,2,8,2016-2
2687,2687,1456120,2016/2/7,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,2,0,2,7,2016-2
2689,2689,1456313,2016/2/4,2016,2,Strategic development,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,2,0,2,4,2016-2
2691,2691,1456353,2016/2/3,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Unity,Panyijiar,Nyal,Nyal,7.7258,30.248,1,1,2,3,2016-2
2692,2692,1456411,2016/2/2,2016,1,Violence against civilians,White Army (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Unity,Panyijiar,Nyal,Nyal,7.7258,30.248,1,0,2,2,2016-2
2696,2696,1976764,2016/1/31,2016,1,Remote violence,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri East,Kediba,Lui,5.3328,30.4581,2,3,1,31,2016-1
2699,2699,1456637,2016/1/28,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,2,1,28,2016-1
2700,2700,564055,2016/1/28,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Upper Nile,Baliet,Sobat,Makak,8.4065,33.1888,1,24,1,28,2016-1
2705,2705,564051,2016/1/27,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Northern Bahr el Ghazal,Aweil East,Yargot,Mayen,9.22,27.56,1,6,1,27,2016-1
2706,2706,1456785,2016/1/25,2016,1,Violence against civilians,LRA: Lords Resistance Army,Rebel force,Civilians (South Sudan),Civilians,27,Western Bahr el Ghazal,Raga,Raja,Raja,8.4624,25.681,2,0,1,25,2016-1
2709,2709,1456922,2016/1/23,2016,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,1,23,2016-1
2710,2710,564046,2016/1/23,2016,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Warrap,Twic,Akoc,Akoc,9.152,28.0252,1,8,1,23,2016-1
2711,2711,1456944,2016/1/22,2016,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,2,1,22,2016-1
2714,2714,1456945,2016/1/22,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,2,1,22,2016-1
2715,2715,1457035,2016/1/21,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,1,21,2016-1
2720,2720,564037,2016/1/20,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,2,1,20,2016-1
2722,2722,1457221,2016/1/18,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,1,18,2016-1
2724,2724,1457337,2016/1/16,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,1,16,2016-1
2725,2725,1457386,2016/1/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,5,1,15,2016-1
2727,2727,1457388,2016/1/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Khorr Ghana,7.7883,27.1531,1,2,1,15,2016-1
2728,2728,1457389,2016/1/15,2016,3,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri East,Lozoh,Lanyi,5.23,30.52,1,0,1,15,2016-1
2729,2729,564027,2016/1/15,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,1,1,15,2016-1
2730,2730,1457457,2016/1/14,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Gobur,4.3417,31.0718,1,5,1,14,2016-1
2731,2731,1457537,2016/1/12,2016,1,Violence against civilians,Militia (Pro-Government),Political militia,Civilians (South Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,1,1,12,2016-1
2732,2732,564024,2016/1/11,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,1,1,1,11,2016-1
2733,2733,1457574,2016/1/11,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,1,7,1,11,2016-1
2734,2734,1457575,2016/1/11,2016,2,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Central Equatoria,Kajo-Keji,Kangepo ll,Bori,3.79,31.5182,1,0,1,11,2016-1
2735,2735,564022,2016/1/11,2016,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Jalle,Padak/baidit,6.4434,31.5451,1,2,1,11,2016-1
2740,2740,1457764,2016/1/7,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,1,7,2016-1
2742,2742,564014,2016/1/7,2016,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,6,1,7,2016-1
2743,2743,1457815,2016/1/6,2016,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,10,1,6,2016-1
2745,2745,1457816,2016/1/6,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,1,1,6,2016-1
2746,2746,1457914,2016/1/4,2016,2,Remote violence,Military Forces of Sudan (1989-),Outside/external force (e.g. UN),Civilians (South Sudan),Civilians,78,Upper Nile,Maban,Maban,Maban,9.96,33.73,2,0,1,4,2016-1
2748,2748,564007,2016/1/4,2016,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Ikpiro,4.5851,28.3908,1,0,1,4,2016-1
2751,2751,1458056,2016/1/1,2016,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,1,1,2016-1
2752,2752,1458117,2015/12/31,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,0,12,31,2015-12
2753,2753,1458183,2015/12/30,2015,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Bahr el Ghazal,Jur River,Udici,Bussera,7.5818,28.0346,2,5,12,30,2015-12
2755,2755,1458307,2015/12/28,2015,1,Violence against civilians,Arrow Boys Militia,Political militia,Civilians (International),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,2,0,12,28,2015-12
2756,2756,563999,2015/12/28,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,1,12,28,2015-12
2757,2757,1876487,2015/12/28,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,12,28,2015-12
2759,2759,1458375,2015/12/27,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,7,12,27,2015-12
2761,2761,1458453,2015/12/24,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Bangasu,Makpandu,4.7398,28.667,1,0,12,24,2015-12
2764,2764,1587761,2015/12/24,2015,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Western Equatoria,Mundri East,Kediba,Lui,5.3329,30.4581,1,7,12,24,2015-12
2765,2765,1458532,2015/12/23,2015,1,Violence against civilians,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,12,23,2015-12
