,data_id,year,time_precision,event_type,actor1,assoc_actor_1,actor1_type,actor2,assoc_actor_2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,Month,Day,Coordinates
2846,1460412,2015,1,Violence against civilians,Police Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Tamazuj,Subnational,Security forces shoot and injure a businessman.,0,11,16,"(28.0071, 7.7177)"
2850,1460480,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Guat,Guat,8.3961,30.1451,1,Amnesty,Other,At least 1 person killed by SPLA soldiers and the multiple women abducted as porters during a raid on Luale village in Guat.,1,11,15,"(30.1451, 8.3961)"
2851,1460481,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Equatoria,Yambio,Yambio,Yambio,4.571000000000001,28.4104,1,HRW,Other,The bodies of three men who had been disappeared by the military in November are found. Two others who had also been disappeared were released.,3,11,15,"(28.4104, 4.571000000000001)"
2852,1460482,2015,3,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Yei,Yei,Yei,4.0899,30.6716,2,Sudan Tribune,Regional,"Unknown group ambushed a vehicle along Yei-Maridi road, killing at least 3.",3,11,15,"(30.6716, 4.0899)"
2853,1460483,2015,1,Violence against civilians,Police Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Tamazuj,Subnational,Security forces beat civilians in Wau.,0,11,15,"(28.0071, 7.7177)"
2854,1460484,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Mayendit,Thonyor,Mayendit,8.131,30.0148,2,HRW,Other,"Military attack Maal in Mayedit County in Nov 2015, at least 1 civilian burned alive.",1,11,15,"(30.0148, 8.131)"
2855,1460440,2015,3,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Christian Group (South Sudan),Civilians,37,Central Equatoria,Morobo,Morobo,Morobo,3.69,30.78,1,Radio Tamazuj,Subnational,Unknown gunmen shot and killed a priest in Morobo county in November 2015.,1,11,15,"(30.78, 3.69)"
2858,1460441,2015,3,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Upper Nile,Malakal,Obwa,Malakal,9.5409,31.6521,1,HRW,Other,"Woman abducted and raped and her body found the following day in Malakal, in Nov 2015.",1,11,15,"(31.6521, 9.5409)"
2860,1460488,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,At least 11 civilians are killed by an attack in Gandor in November (exact date not mentioned).,11,11,15,"(30.1444, 8.3513)"
2861,1460489,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Haat,Adok,8.19,30.32,1,Radio Tamazuj,Subnational,Government forces raid Adok and kill 18 unarmed civilians in mid-November,18,11,15,"(30.32, 8.19)"
2862,563893,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Lologo,4.7174,31.5811,1,Radio Tamazuj,Subnational,Militiamen suspected to be sent by organised forces kill a women and abduct 3 in Lologo.,1,11,13,"(31.5811, 4.7174)"
2863,563894,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Twic East,Paliau,Pakayr,6.84,31.32,1,Radio Tamazuj,Subnational,"Gunmen attack Pakayr. Kill 22, wound 9.",22,11,13,"(31.32, 6.84)"
2867,1460700,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Eastern Equatoria,Ikotos,Ikotos,Ikotos,4.0765,33.1185,2,Sudan Tribune,Regional,Soldiers kill a civilian near Ikotos.,1,11,10,"(33.1185, 4.0765)"
2871,1460817,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Bahr el Ghazal,Wau,Wau West,Faraj Allah,7.5346,27.7722,1,Radio Tamazuj; Radio Tamazuj,Subnational,Soldiers shoot and kill 2 people suspected of trying to join a rebel group.,2,11,7,"(27.7722, 7.5346)"
2874,1460957,2015,1,Violence against civilians,Lou Nuer Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,Radio Tamazuj,Subnational,Suspected Lou Nuer tribesmen kill at least 2 traders along Panyagoor-Poktap road in Twic East County.,2,11,4,"(31.4059, 7.1633)"
2875,1460998,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),Government of South Sudan (2011-),Civilians,17,Western Equatoria,Tambura,Tambura,Yubo,5.3932,27.2542,1,Radio Tamazuj; Sudan Tribune,Subnational-regional,Soldiers ambush a convoy carrying Tombura County Commissioner in Source Yubu. Several wounded.,0,11,3,"(27.2542, 5.3932)"
2880,563875,2015,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Radio Tamazuj,Subnational,Youth attack Pakenytui camp in Bor County. 3 killed.,3,11,2,"(31.561999999999998, 6.2144)"
2884,1461115,2015,1,Violence against civilians,TFNF: Tiger Faction New Forces,,Rebel force,Civilians (South Sudan),Government of South Sudan (2011-),Civilians,27,Upper Nile,Manyo,,Wadakona,11.6173,32.7305,1,Sudan Tribune,Regional,"New rebel group Tiger Faction New Forces led by Yoanes Okij and made up predominately of members of the Shilluk ethnic group, holds Manyo County Commissioner hostage in Wadakona, claiming control over Wadakona as its headquarters.",0,10,31,"(32.7305, 11.6173)"
2886,563867,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Northern Bahr el Ghazal,Aweil East,Akon,Ameth,9.1212,27.8955,1,Radio Tamazuj,Subnational,4 shot dead at Ameth cattle camp.,4,10,29,"(27.8955, 9.1212)"
2889,563868,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Thuyic Ethnic Group (South Sudan),Civilians,37,Lakes,Rumbek Centre,Kuei,Malou,6.76,29.6551,1,Radio Tamazuj,Subnational,3 shot and killed near Malou military barracks. One civilian identified as from the Thuyic ethnic group.,3,10,29,"(29.6551, 6.76)"
2890,563866,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,Radio Tamazuj,Subnational,Gunmen shoot dead two men travelling through Tonj South.,2,10,27,"(28.6839, 7.2733)"
2892,563864,2015,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Northern Bahr el Ghazal,Aweil West,Mariam,Aweil,8.7863,27.4015,2,Radio Tamazuj,Subnational,"Unknown group kill a paramount chief in Maduang (Maduany), on the outskirts of Aweil.",1,10,27,"(27.4015, 8.7863)"
2893,1461369,2015,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,,Rebel force,Civilians (International),UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Civilians,27,Upper Nile,Melut,Renk,Kaka,10.5988,32.1888,1,Agence France Presse; Associated Press International,International,"SPLA/M-IO abduct 18 Bangladeshi peacekeepers and 13 UN contractors travelling on a fuel barge at Kaka. 18 released on Oct 29, rest released on Nov. 1.",0,10,26,"(32.1888, 10.5988)"
2894,1461370,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,1,Sudan Tribune,Regional,5 killed in ambush in Kajo-Keji on Oct 26.,5,10,26,"(31.6667, 3.8848)"
2896,1461433,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Thonyor,Thonyor,8.22,30.22,2,Amnesty,Other,SPLA forces kill a civilian in Toch Reah near Thonyor in October (date not specified). The soldiers return 10 days later and kill at least 4 civilians,4,10,25,"(30.22, 8.22)"
2897,1461434,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,1,Sudan Tribune,Regional,1 killed in ambush in Kajo-Keji on Oct 25.,1,10,25,"(31.6667, 3.8848)"
2898,563858,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Aid Workers (South Sudan); WFP: World Food Programme,Civilians,37,Western Bahr el Ghazal,Wau,Bazia,Bazia,7.13,27.89,2,Radio Tamazuj,Subnational,"Gunmen in military uniform stopped UN food trucks between Bazia and Wau, and beat drivers and passengers.",0,10,25,"(27.89, 7.13)"
2899,1461461,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Leer,8.2936,30.1326,1,Radio Tamazuj; Agence France Presse,Subnational-international,Military kill at least 62 people in Leer. Government forces locked suspects shipping containers leading many to suffocate.,62,10,24,"(30.1326, 8.2936)"
2901,1126320,2015,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,Suspected Murle militia attack Wareh cattle camp in Jalle payam in Bor county. 12 civilians killed.,12,10,22,"(31.4154, 6.7489)"
2902,1461562,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Padeah,8.408999999999999,30.186,2,Radio Tamazuj,Subnational,"SPLA/M-IO accuse military of shelling villages, burning houses, and raping women in Padeah, Gandoor, Bouth, Leeh, and Guad.",0,10,22,"(30.186, 8.408999999999999)"
2903,563855,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,1,Radio Tamazuj,Subnational,Son of Wonduraba paramount chief shot dead.,1,10,22,"(31.0327, 4.5182)"
2904,1461563,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Pariang,Gumriak,Lual,9.88,30.22,1,Radio Tamazuj,Subnational,"SPLA/M-IO accuse military of shelling villages, burning houses, and raping women in Lual.",0,10,22,"(30.22, 9.88)"
2905,1461564,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Jonglei,Fangak,Nyadin,Dornor,8.89,30.71,1,Radio Tamazuj,Subnational,"SPLA/M-IO accuse military of shelling villages, burning houses, and raping women in Dornor.",0,10,22,"(30.71, 8.89)"
2907,1461566,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Jonglei,Uror,Pieri,Beir,8.0333,31.8167,1,Radio Tamazuj,Subnational,"SPLA/M-IO accuse military of shelling villages, burning houses, and raping women in Beir.",0,10,22,"(31.8167, 8.0333)"
2912,1461778,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Mangalla,5.1999,31.7722,2,Radio Tamazuj,Subnational,Soldier shot dead one woman in Kaya near Mangalla.,1,10,16,"(31.7722, 5.1999)"
2914,1461808,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,HRW,Other,Military forces forcebly disappear and torture a man in Wau in Oct 2015,0,10,15,"(28.0071, 7.7177)"
2916,1461810,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Thonyor,Thonyor,8.22,30.22,2,Amnesty,Other,SPLA forces kill a civilian in Toch Reah near Thonyor in October (date not specified). The soldiers return 10 days later and kill at least 4 civilians,1,10,15,"(30.22, 8.22)"
2917,1461811,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Thonyor,Pilling,8.26,30.2,1,HRW,Other,"Military attack Pilling in Oct 2015, at least 2 civilians killed.",2,10,15,"(30.2, 8.26)"
2919,1461813,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Koch,Guit,Koch,8.6048,29.9905,1,HRW,Other,Soldier kill 1 and rape 1 girl in Koch in Oct 2015.,1,10,15,"(29.9905, 8.6048)"
2920,1461814,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),Nuer Ethnic Group (South Sudan); Civilians (Aid Workers),Civilians,17,Unity,Leer,Koch,Leer,8.2936,30.1326,1,Radio Tamazuj,Subnational,"Reports of military raping, abducting, burning homes, and shooting at members of Nuer tribe in Leer County from Oct 4-22. 51 civilians killed, including at least one aid worker.",51,10,15,"(30.1326, 8.2936)"
2922,1461816,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Guit,Rubkoana,Gwit,9.12,29.91,1,Radio Tamazuj,Subnational,SPLA/M-IO accuse military of killing 5 civilians in Gwit in October.,5,10,15,"(29.91, 9.12)"
2927,1461978,2015,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),IDPs/Refugees (South Sudan); UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Civilians,37,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,1,Sudan Tribune,Regional,"Unknown group shot into the UNMISS protection site, 4 injured.",0,10,12,"(30.3167, 5.35)"
2929,1461994,2015,1,Violence against civilians,Rup Clan Dinka Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,Radio Tamazuj,Subnational,Suspected Rup cattle raiders kill a cattle owner in Makuriric in Rumbek County.,1,10,11,"(29.6995, 6.8187)"
2932,1462024,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Maban,Maban,Maban,9.96,33.73,2,Sudan Tribune,Regional,Military attacked villages of Kewenyi and Lengeji in Maban county. Unknown number of civilians killed.,10,10,11,"(33.73, 9.96)"
2933,1462025,2015,1,Violence against civilians,Military Forces of South Sudan (2011-) Military Intelligence Service,,Government or mutinous force,Civilians (South Sudan),IDPs/Refugees (South Sudan); UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,Military intellgience agents abduct an IDP from Juba UNMISS camp.,0,10,11,"(31.6178, 4.8609)"
2938,1462116,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,Soldier shot at least six dead in Hai Gudele in Juba.,6,10,8,"(31.6178, 4.8609)"
2944,1462254,2015,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Thonyor,Thonyor,8.22,30.22,1,IRIN,Other,Military allegedly fired on civilians in Thonyor. 11 killed.,11,10,5,"(30.22, 8.22)"
2958,1462486,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Leer,8.2936,30.1326,2,Sudan Tribune,Regional,Clashes between military and SPLA/M-IO in Leer. Rebels accuse military forces of abducting 10 girls in attacks on Geer and Kany-gai in Leer County.,0,9,29,"(30.1326, 8.2936)"
2963,1462525,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Malakal,Obwa,Lelo,9.5474,31.6172,1,Sudan Tribune; Radio Tamazuj,Subnational-regional,Clashes between military and SPLA/M-IO. Military regain control of Lelo. Rebels accuse military of shooting a woman dead and injuring two.,1,9,28,"(31.6172, 9.5474)"
2964,1462570,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,The SPLA kill two people in separate attacks on killed in separate attacks in Tharrup village in Gandor payam on the 25th and 27th of September,1,9,27,"(30.1444, 8.3513)"
2965,1462571,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Upper Nile,Malakal,Obwa,Lelo,9.5474,31.6172,1,IGAD; Radio Tamazuj,Other-subnational,Military shoot one woman dead and injure a man in Lelo.,1,9,27,"(31.6172, 9.5474)"
2967,1462596,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,SPLA burn huts at Pinykuer village in Gandor payam and sexually assault the villagers. At least one civilian burns to death in his hut.,1,9,26,"(30.1444, 8.3513)"
2968,1462640,2015,1,Violence against civilians,MDF: Mabanese Defence Forces,,Political militia,Civilians (South Sudan),,Civilians,37,Upper Nile,Maban,Renk,Liang,9.87,33.65,1,Radio Tamazuj,Subnational,Clashes between Maban Defense Forces and SPLA/M-IO in Kanje in Maban County. MDF also reportedly attack hearders in Kanje.,0,9,25,"(33.65, 9.87)"
2969,1462641,2015,1,Violence against civilians,MDF: Mabanese Defence Forces,,Political militia,Civilians (South Sudan),,Civilians,37,Upper Nile,Maban,Renk,Kanje,10.05,33.71,1,Radio Tamazuj,Subnational,Clashes between Maban Defense Forces and SPLA/M-IO in Liang in Maban County. MDF also reportedly attack hearders in Liang.,0,9,25,"(33.71, 10.05)"
2971,1462643,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,The SPLA kill two people in separate attacks on killed in separate attacks in Tharrup village in Gandor payam on the 25th and 27th of September,1,9,25,"(30.1444, 8.3513)"
2976,1462857,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,2,Radio Tamazuj,Subnational,Military soldiers accused of killing 6 in Katigiri and Wonduruba on Sept 20.,6,9,20,"(31.0327, 4.5182)"
2977,1462888,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,2,Radio Tamazuj,Subnational,"Soldiers in Katigiri, Wonduruba tie a man to a tree, beat him and rob him.",0,9,19,"(31.0327, 4.5182)"
2978,563778,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Pochalla,Pochalla,Pochalla,7.1783,34.0967,1,Radio Tamazuj,Subnational,Gunmen kill three in Pochalla.,3,9,19,"(34.0967, 7.1783)"
2979,1462912,2015,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,Sudan Tribune,Regional,Murle militia abduct 2 children in Pinyleek village of Nyuak payam in Twic East County.,0,9,18,"(31.4059, 7.1633)"
2981,1463068,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Equatoria,Mundri East,Kediba,Lui,5.3328,30.4581,1,South Sudan News Agency,National,Rebels accuse military of attacking civilians in Lui and burning houses.,0,9,16,"(30.4581, 5.3328)"
2982,1463069,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Western Equatoria,Mundri East,Kediba,Jambo,5.0631,30.7336,1,South Sudan News Agency,National,"Rebels accuse military of attacking civilians in Jambo, and burning houses.",0,9,16,"(30.7336, 5.0631)"
2983,1463101,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,1,CTSAMM,Other,"In September 2015, the SPLA reportedky killed 52 civilians in Wonduraba, suspecting them of being sympathetic to the SPLA-IO. Coded as 46 fatalities as 6 fatalities coded in another event in Wonduraba in September 2015. As of August 2017 these incidenty had never been investigated.",46,9,15,"(31.0327, 4.5182)"
2984,1463106,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Leer,8.2936,30.1326,2,Amnesty International,Other,In mid-September a witness saw two abducted women from Kuidok being killed in Leer by government forces for trying to escape.,2,9,15,"(30.1326, 8.2936)"
2985,1463107,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Guat,Waak,8.3961,30.1739,1,Amnesty International,Other,A woman held captive in Waak is shot dead by the SPLA after she refuses to be sexually assaulted.,1,9,15,"(30.1739, 8.3961)"
2987,1463109,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Payak,8.2712,30.230999999999998,1,Amnesty,Other,4 civilians are killed by SPLA soldiers in Giel village in Payak payam in September.,4,9,15,"(30.230999999999998, 8.2712)"
2988,1463110,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Koch,Koch,Kot,8.47,30.1,2,Amnesty International,Other,SPLA soldiers kill at least 3 people during a raid on Toch Luali island (date not given).,3,9,15,"(30.1, 8.47)"
2989,1463111,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Juong,Juong,8.3312,30.1437,1,Amnesty,Other,"At least two civilians, a husband and wife, are executed by SPLA forces during a security raid on Juong in September.",2,9,15,"(30.1437, 8.3312)"
2990,1463112,2015,3,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Haat,Adok,8.19,30.32,1,Amnesty,Other,Government forces raid Adok and set huts on fire. At least two civilians burn to death.,2,9,15,"(30.32, 8.19)"
2992,563763,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,3,Sudan Tribune,Regional,Former Lakes State chief shot in the leg and injured by unknown armed group.,0,9,13,"(29.6995, 6.8187)"
2994,1463205,2015,2,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Central Equatoria,Juba,Juba,Wonduruba,4.5182,31.0327,2,Radio Tamazuj,Subnational,Soldiers beat a woman and her grandchild in Katigiri.,0,9,13,"(31.0327, 4.5182)"
2998,563757,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Cueibet,Cueibet,Cueibet,7.0317,29.2472,2,Sudan Tribune,Regional,"Cattle raiders killed 5 in Pagoor Payam, Cueibet County.",5,9,10,"(29.2472, 7.0317)"
2999,1463309,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Koch,Koch,Kot,8.47,30.1,2,Amnesty International,Other,Military forces kill at least one civilian at Toch Luali island.,1,9,10,"(30.1, 8.47)"
3001,563756,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Cueibet,Rup,Abiriu,6.9218,29.4773,1,Radio Tamazuj,Subnational,"3 women raped at gunpoint in Abiriu, Cueibet County.",0,9,10,"(29.4773, 6.9218)"
3002,563755,2015,1,Violence against civilians,Vigilante Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),Murle Ethnic Group (South Sudan),Civilians,47,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Sudan Tribune,Regional,Vigilante militia attack suspected Murle criminals in village near Bor.,0,9,9,"(31.561999999999998, 6.2144)"
3007,563750,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Twic East,Kongor,Panyagor,7.1633,31.4059,2,Radio Tamazuj,Subnational,"Cattle raiders kill one man, injure another in Pathieng, 5kms from Panyagor.",1,9,7,"(31.4059, 7.1633)"
3010,563747,2015,1,Violence against civilians,Rioters (South Sudan),IDPs/Refugees (South Sudan),Rioters,Civilians (South Sudan),Journalists (South Sudan),Civilians,57,Lakes,Awerial,Awerial,Minkamman,6.05,31.55,1,Radio Tamazuj,Subnational,"Youths in Minkamman camp rioted against international organizations for supposed lack of employing locals. They beat 3 journalists working on a humanitarian radio show, 1 taken to hospital.",0,9,7,"(31.55, 6.05)"
3011,1463439,2015,1,Violence against civilians,Military Forces of South Sudan (2011-),,Government or mutinous force,Civilians (South Sudan),,Civilians,17,Unity,Leer,Koch,Leer,8.2936,30.1326,2,Amnesty,Other,SPLA soldiers burn down Ding Ding village in Leer county. At least one civilian is killed during the blaze.,1,9,7,"(30.1326, 8.2936)"
3014,563743,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Equatoria,Yambio,Nabiapai,Timbiro,4.4773,28.3518,1,Sudan Tribune,Regional,Gunmen kill 2 women in Hai Timbiro suburb of Yambio.,2,9,6,"(28.3518, 4.4773)"
3017,563742,2015,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Twic East,Paliau,Pakayr,6.84,31.32,1,Radio Tamazuj,Subnational,"Gunmen attack a cattle camp in Pakayr, killing one woman. And wounded her husband.",1,9,6,"(31.32, 6.84)"
3018,1463498,2015,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Aid Workers (South Sudan); UN: United Nations,Civilians,37,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj,Subnational,2 UN workers raped in Juba.,0,9,5,"(31.6178, 4.8609)"
